variable,description,unit,dimensions,code_variable,in_history,in_analysis,in_daily,in_monthly,in_diurnal,in_yearly,in_tower,glob_id,info_string
CLEAF_LITTER_FLUX,Poly Avg. Leaf Litter Carbon Flux,?,npolygons,cgrid%cleaf_litter_flux,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,CLEAF_LITTER_FLUX :11:hist:anal:dail
CROOT_LITTER_FLUX,Poly Avg. Fine Root Litter Carbon Flux,?,npolygons,cgrid%croot_litter_flux,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,CROOT_LITTER_FLUX :11:hist:anal:dail
CCWD_FLUX,Poly Avg. Coarse Woody Debris Carbon FLUX,?,npolygons,cgrid%ccwd_flux,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,CCWD_FLUX :11:hist:anal:dail
NLEAF_GROW,Poly Avg. Leaf Nitrogen growth,?,npolygons,cgrid%nleaf_grow,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,NLEAF_GROW :11:hist:anal:dail
NROOT_GROW,Poly Avg. Fine Root Nitrogen Growth,?,npolygons,cgrid%nroot_grow,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,NROOT_GROW :11:hist:anal:dail
NDEAD_GROW,Poly Avg. Wood Nitrogen growth,?,npolygons,cgrid%ndead_grow,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,NDEAD_GROW :11:hist:anal:dail
NSTORE_GROW,Poly Avg. Storage Nitrogen Growth,?,npolygons,cgrid%nstore_grow,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,NSTORE_GROW :11:hist:anal:dail
NLEAF_LITTER_FLUX,Poly Avg. Leaf litter Nitrogen flux,?,npolygons,cgrid%nleaf_litter_flux,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,NLEAF_LITTER_FLUX :11:hist:anal:dail
NROOT_LITTER_FLUX,Poly Avg. fine root litter Nitrogen flux,?,npolygons,cgrid%nroot_litter_flux,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,NROOT_LITTER_FLUX :11:hist:anal:dail
NCWD_FLUX,Poly Avg. CWD Nitrogen flux,?,npolygons,cgrid%ncwd_flux,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,NCWD_FLUX :11:hist:anal:dail
NBIOMASS_UPTAKE,Poly Avg. Nitrogen Uptake,?,npolygons,cgrid%nbiomass_uptake,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,NBIOMASS_UPTAKE :11:hist:anal:dail
NGROSS_MIN,Poly Avg. Gross Nitrogen mineralization,?,npolygons,cgrid%ngross_min,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,NGROSS_MIN :11:hist:anal:dail
NNET_MIN,Poly Avg. Net Nitrogen mineralization,?,npolygons,cgrid%nnet_min,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,NNET_MIN :11:hist:anal:dail
FAST_GRND_C_PY,Ground Carbon (Fast/Litter pool),kgC/m2,npolygons,cgrid%fast_grnd_c,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FAST_GRND_C_PY     :11:hist:anal:dail:opti
FAST_SOIL_C_PY,Soil Carbon (Fast/Litter pool),kgC/m2,npolygons,cgrid%fast_soil_c,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FAST_SOIL_C_PY     :11:hist:anal:dail:opti
STRUCT_GRND_C_PY,Ground Carbon (Structural/Woody Debris pool),kgC/m2,npolygons,cgrid%struct_grnd_c,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,STRUCT_GRND_C_PY   :11:hist:anal:dail:opti
STRUCT_SOIL_C_PY,Soil Carbon (Structural/Woody Debris pool),kgC/m2,npolygons,cgrid%struct_soil_c,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,STRUCT_SOIL_C_PY   :11:hist:anal:dail:opti
STRUCT_GRND_L_PY,Ground Lignin (Structural pool),kgC/m2,npolygons,cgrid%struct_grnd_l,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,STRUCT_GRND_L_PY   :11:hist:anal:dail
STRUCT_SOIL_L_PY,Soil Lignin (Structural pool),kgC/m2,npolygons,cgrid%struct_soil_l,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,STRUCT_SOIL_L_PY   :11:hist:anal:dail
MICROBE_SOIL_C_PY,Soil Carbon (Microbial pool),kgC/m2,npolygons,cgrid%microbe_soil_c,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,MICROBE_SOIL_C_PY  :11:hist:anal:dail:opti
SLOW_SOIL_C_PY,Soil Carbon (Slow/Humified pool),kgC/m2,npolygons,cgrid%slow_soil_c,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,SLOW_SOIL_C_PY     :11:hist:anal:dail:opti
PASSIVE_SOIL_C_PY,Soil Carbon (Passive pool),kgC/m2,npolygons,cgrid%passive_soil_c,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,PASSIVE_SOIL_C_PY  :11:hist:anal:dail:opti
FAST_GRND_N_PY,Ground Nitrogen (Fast pool),kgN/m2,npolygons,cgrid%fast_grnd_n,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,FAST_GRND_N_PY     :11:hist:anal:dail
FAST_SOIL_N_PY,Soil Nitrogen (Fast pool),kgN/m2,npolygons,cgrid%fast_soil_n,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,FAST_SOIL_N_PY     :11:hist:anal:dail
STRUCT_GRND_N_PY,Ground Nitrogen (Structural/Woody Debris pool),kgN/m2,npolygons,cgrid%struct_grnd_n,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,STRUCT_GRND_N_PY   :11:hist:anal:dail:opti
STRUCT_SOIL_N_PY,Soil Nitrogen (Structural/Woody Debris pool),kgN/m2,npolygons,cgrid%struct_soil_n,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,STRUCT_SOIL_N_PY   :11:hist:anal:dail:opti
MINERAL_SOIL_N_PY,Soil Nitrogen (Mineralised pool),kgN/m2,npolygons,cgrid%mineral_soil_n,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,MINERAL_SOIL_N_PY  :11:hist:anal:dail
CROP_HARVEST_PY,Crop harvest output (leaves+NSC),kgC/m2,npolygons,cgrid%crop_harvest,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,cgrid%pyglob_id,CROP_HARVEST_PY    :11:hist:mont:dcyc
LOGGING_HARVEST_PY,Logging harvest output (timber),kgC/m2,npolygons,cgrid%logging_harvest,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,cgrid%pyglob_id,LOGGING_HARVEST_PY    :11:hist:mont:dcyc
COMBUSTED_FUEL_PY,Carbon lost through fuel combustion,kgC/m2,npolygons,cgrid%combusted_fuel,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,cgrid%pyglob_id,COMBUSTED_FUEL_PY     :11:hist:mont:dcyc
FMEAN_GPP_PY,Sub-daily mean - Gross primary productivity,kgC/m2/yr,npolygons,cgrid%fmean_gpp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_GPP_PY               :11://trim(fast_keys)
FMEAN_NPP_PY,Sub-daily mean - Net primary productivity,kgC/m2/yr,npolygons,cgrid%fmean_npp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_NPP_PY               :11://trim(fast_keys)
FMEAN_LEAF_RESP_PY,Sub-daily mean - Leaf respiration,kgC/m2/yr,npolygons,cgrid%fmean_leaf_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_RESP_PY         :11://trim(fast_keys)
FMEAN_ROOT_RESP_PY,Sub-daily mean - Root respiration,kgC/m2/yr,npolygons,cgrid%fmean_root_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_ROOT_RESP_PY         :11://trim(fast_keys)
FMEAN_LEAF_GROWTH_RESP_PY,Sub-daily mean - Leaf growth respiration,kgC/m2/yr,npolygons,cgrid%fmean_leaf_growth_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_GROWTH_RESP_PY   :11://trim(fast_keys)
FMEAN_ROOT_GROWTH_RESP_PY,Sub-daily mean - Root growth respiration,kgC/m2/yr,npolygons,cgrid%fmean_root_growth_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_ROOT_GROWTH_RESP_PY   :11://trim(fast_keys)
FMEAN_SAPA_GROWTH_RESP_PY,Sub-daily mean - Aboveground sapwood growth respiration,kgC/m2/yr,npolygons,cgrid%fmean_sapa_growth_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_SAPA_GROWTH_RESP_PY   :11://trim(fast_keys)
FMEAN_SAPB_GROWTH_RESP_PY,Sub-daily mean - Belowground sapwood growth respiration,kgC/m2/yr,npolygons,cgrid%fmean_sapb_growth_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_SAPB_GROWTH_RESP_PY   :11://trim(fast_keys)
FMEAN_BARKA_GROWTH_RESP_PY,Sub-daily mean - Aboveground bark growth respiration,kgC/m2/yr,npolygons,cgrid%fmean_barka_growth_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_BARKA_GROWTH_RESP_PY  :11://trim(fast_keys)
FMEAN_BARKB_GROWTH_RESP_PY,Sub-daily mean - Belowground bark growth respiration,kgC/m2/yr,npolygons,cgrid%fmean_barkb_growth_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_BARKB_GROWTH_RESP_PY  :11://trim(fast_keys)
FMEAN_LEAF_STORAGE_RESP_PY,Sub-daily mean - Leaf storage respiration,kgC/m2/yr,npolygons,cgrid%fmean_leaf_storage_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_STORAGE_RESP_PY      :11://trim(fast_keys)
FMEAN_ROOT_STORAGE_RESP_PY,Sub-daily mean - Root storage respiration,kgC/m2/yr,npolygons,cgrid%fmean_root_storage_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_ROOT_STORAGE_RESP_PY      :11://trim(fast_keys)
FMEAN_SAPA_STORAGE_RESP_PY,Sub-daily mean - Aboveground Sapwood storage respiration,kgC/m2/yr,npolygons,cgrid%fmean_sapa_storage_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_SAPA_STORAGE_RESP_PY      :11://trim(fast_keys)
FMEAN_SAPB_STORAGE_RESP_PY,Sub-daily mean - Belowground Sapwood storage respiration,kgC/m2/yr,npolygons,cgrid%fmean_sapb_storage_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_SAPB_STORAGE_RESP_PY      :11://trim(fast_keys)
FMEAN_BARKA_STORAGE_RESP_PY,Sub-daily mean - Aboveground bark storage respiration,kgC/m2/yr,npolygons,cgrid%fmean_barka_storage_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_BARKA_STORAGE_RESP_PY     :11://trim(fast_keys)
FMEAN_BARKB_STORAGE_RESP_PY,Sub-daily mean - Belowground bark storage respiration,kgC/m2/yr,npolygons,cgrid%fmean_barkb_storage_resp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_BARKB_STORAGE_RESP_PY     :11://trim(fast_keys)
FMEAN_PLRESP_PY,Sub-daily mean - Plant respiration,kgC/m2/yr,npolygons,cgrid%fmean_plresp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_PLRESP_PY            :11://trim(fast_keys)
FMEAN_LEAF_ENERGY_PY,Sub-daily mean - Leaf internal energy,J/m2,npolygons,cgrid%fmean_leaf_energy,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_ENERGY_PY       :11://trim(fast_keys)
FMEAN_LEAF_WATER_PY,Sub-daily mean - Leaf surface water,kg/m2,npolygons,cgrid%fmean_leaf_water,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_WATER_PY        :11://trim(fast_keys)
FMEAN_LEAF_WATER_IM2_PY,Sub-daily mean - Leaf internal water,kg/m2,npolygons,cgrid%fmean_leaf_water_im2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_WATER_IM2_PY    :11://trim(fast_keys)
FMEAN_LEAF_HCAP_PY,Sub-daily mean - Leaf heat capacity,J/m2/K,npolygons,cgrid%fmean_leaf_hcap,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_HCAP_PY         :11://trim(fast_keys)
FMEAN_LEAF_VPDEF_PY,Sub-daily mean - Leaf vapour pressure deficit,Pa,npolygons,cgrid%fmean_leaf_vpdef,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_VPDEF_PY        :11://trim(fast_keys)
FMEAN_LEAF_TEMP_PY,Sub-daily mean - Leaf temperature,K,npolygons,cgrid%fmean_leaf_temp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_TEMP_PY         :11://trim(fast_keys)
FMEAN_LEAF_FLIQ_PY,Sub-daily mean - Liquid fraction,NA,npolygons,cgrid%fmean_leaf_fliq,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_FLIQ_PY         :11://trim(fast_keys)
FMEAN_LEAF_GSW_PY,Sub-daily mean - Stomatal conductance,kg/m2leaf/s,npolygons,cgrid%fmean_leaf_gsw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_GSW_PY          :11://trim(fast_keys)
FMEAN_LEAF_GBW_PY,Sub-daily mean - Leaf boundary layer conductance,kg/m2leaf/s,npolygons,cgrid%fmean_leaf_gbw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_LEAF_GBW_PY          :11://trim(fast_keys)
FMEAN_WOOD_ENERGY_PY,Sub-daily mean - Wood internal energy,J/m2,npolygons,cgrid%fmean_wood_energy,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_WOOD_ENERGY_PY       :11://trim(fast_keys)
FMEAN_WOOD_WATER_PY,Sub-daily mean - Wood surface water,kg/m2,npolygons,cgrid%fmean_wood_water,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_WOOD_WATER_PY        :11://trim(fast_keys)
FMEAN_WOOD_WATER_IM2_PY,Sub-daily mean - Wood internal water,kg/m2,npolygons,cgrid%fmean_wood_water_im2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_WOOD_WATER_IM2_PY    :11://trim(fast_keys)
FMEAN_WOOD_HCAP_PY,Sub-daily mean - Wood heat capacity,J/m2/K,npolygons,cgrid%fmean_wood_hcap,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_WOOD_HCAP_PY         :11://trim(fast_keys)
FMEAN_WOOD_TEMP_PY,Sub-daily mean - Wood temperature,K,npolygons,cgrid%fmean_wood_temp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_WOOD_TEMP_PY         :11://trim(fast_keys)
FMEAN_WOOD_FLIQ_PY,Sub-daily mean - Liquid fraction,NA,npolygons,cgrid%fmean_wood_fliq,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_WOOD_FLIQ_PY         :11://trim(fast_keys)
FMEAN_WOOD_GBW_PY,Sub-daily mean - Wood boundary layer conductance,kg/m2wood/s,npolygons,cgrid%fmean_wood_gbw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_WOOD_GBW_PY          :11://trim(fast_keys)
FMEAN_FS_OPEN_PY,Sub-daily mean - Net stress factor,NA,npolygons,cgrid%fmean_fs_open,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_FS_OPEN_PY           :11://trim(fast_keys)
FMEAN_FSW_PY,Sub-daily mean - Moisture stress,NA,npolygons,cgrid%fmean_fsw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_FSW_PY               :11://trim(fast_keys)
FMEAN_FSN_PY,Sub-daily mean - Nitrogen stress,NA,npolygons,cgrid%fmean_fsn,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_FSN_PY               :11://trim(fast_keys)
FMEAN_A_OPEN_PY,Sub-daily mean - Assimilation rate (no soil moist. stress),umol/m2/s,npolygons,cgrid%fmean_a_open,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_A_OPEN_PY          :11://trim(fast_keys)
FMEAN_A_CLOSED_PY,Sub-daily mean - Minimum assimilation rate,umol/m2/s,npolygons,cgrid%fmean_a_closed,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_A_CLOSED_PY        :11://trim(fast_keys)
FMEAN_A_NET_PY,Sub-daily mean - Actual assimilation rate,umol/m2/s,npolygons,cgrid%fmean_a_net,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_A_NET_PY          :11://trim(fast_keys)
FMEAN_A_LIGHT_PY,Sub-daily mean - Light-limited assimilation rate,umol/m2/s,npolygons,cgrid%fmean_a_light,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_A_LIGHT_PY          :11://trim(fast_keys)
FMEAN_A_RUBP_PY,Sub-daily mean - RuBP-limited assimilation rate,umol/m2/s,npolygons,cgrid%fmean_a_rubp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_A_RUBP_PY          :11://trim(fast_keys)
FMEAN_A_CO2_PY,Sub-daily mean - CO2-limited assimilation rate,umol/m2/s,npolygons,cgrid%fmean_a_co2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_A_CO2_PY          :11://trim(fast_keys)
FMEAN_PSI_OPEN_PY,Sub-daily mean - Transpiration with no stress,kg/m2/s,npolygons,cgrid%fmean_psi_open,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,FMEAN_PSI_OPEN_PY          :11://trim(fast_keys)
